epoch,avg_loss
0,2.355886043064178
1,2.1884071070050437
2,2.1280975303952654
3,2.1252853756859187
4,2.071987996025691
5,2.070685025245424
6,2.086099942525228
7,2.072350713941786
8,2.0503585508891513
9,2.055284929653955
10,2.069316648301624
11,2.0346705818933155
12,2.0080206715871416
13,2.0072227527224826
14,1.9966718980244227
15,2.021990615224081
16,1.9896800915400188
17,1.9853345382781256
18,1.9423584162242828
19,1.9752680611988855
20,1.9066722563334875
21,1.8797210227875483
22,1.8625936754166135
23,1.852136348921155
24,1.826872984568278
25,1.8266663116122048
26,1.7691116503306799
27,1.7716177001832023
28,1.8167002711977278
29,1.763836389496213
30,1.7502837710910373
31,1.7095094521840413
32,1.7675363487667508
33,1.6749201710261996
34,1.6854638731668865
35,1.6700951561095223
36,1.6810885497501917
37,1.657322947941129
38,1.6194649158962189
39,1.615170431515527
40,1.6642495753273132
41,1.5685491656500197
42,1.61356682815249
43,1.5324256022771199
44,1.5881430024192447
45,1.4476918190244645
46,1.5307695846708993
47,1.5306728851227533
48,1.5821724789483207
49,1.502220452777923
50,1.4756236729167758
51,1.4411658956891014
52,1.4422174957063463
53,1.4696059927107796
54,1.5072077701962183
55,1.4705647589668396
